koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_sma,koi_incl,koi_teq,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_smass,ra,koi_imag,koi_zmag,koi_fwm_stat_sig,koi_fwm_sdec,koi_dicco_msky,koi_dikco_msky
1,-0.38185717,-0.410646534,-0.326804924,-0.088195398,-0.362390326,0.524346064,-0.414091838,-0.208639877,-0.406029686,0.516365268,-0.274698826,-0.331158074,0.661048345,-0.500742521,0.573963542,-0.330714156,0.365430362,0.965167999,-0.303803397,-0.046893506,0.804981517,0.836871357,-0.519538534,1.230680659,-0.569201918,-0.526809899
1,0.013657218,-0.188067645,-0.324032157,-0.086464612,0.272951133,0.518971544,-0.79516839,0.153974191,-0.406029686,0.516365268,-0.276484733,-0.3422385,0.661048345,-0.702894651,-0.707637225,-0.330714156,0.365430362,0.965167999,-0.303803397,-0.046893506,0.804981517,0.836871357,-0.515278638,1.230703076,-0.511666221,-0.472388768
1,-0.443146407,-0.597816777,-0.326944097,-0.087664747,-0.52418116,0.270549275,0.253336523,-0.318332511,0.44193164,-0.361872124,-0.273690443,-0.325507056,-0.453551324,0.14372538,-0.133061936,0.365845695,0.300348464,0.718923403,0.185677758,-0.716150137,0.940425895,1.025928876,2.594445026,1.254316763,-0.599483863,-0.602394804
1,-0.36771731,-0.175498654,-0.317127002,-0.083741942,-0.315440585,0.431784882,-0.368362652,-0.266354868,0.510933918,-0.501718843,-0.268988656,-0.297141166,1.775648014,-0.581948933,-0.529288455,0.383985274,0.408070226,0.191256409,0.068869755,0.869186175,1.092610588,1.186828893,-0.528058325,1.25388243,-0.605540253,-0.599371408
1,-0.428984026,-0.384402479,-0.326055527,-0.087026423,-0.476893651,0.169627728,-0.014505854,-0.330558527,0.510933918,-0.501718843,-0.27361467,-0.326282686,1.775648014,-0.331418515,0.310936576,0.383985274,0.408070226,0.191256409,0.068869755,0.869186175,1.092610588,1.186828893,-0.528058325,1.253846003,-0.55103275,-0.56611405
1,-0.442785516,-0.486563244,-0.330969428,-0.090466398,-0.52418116,0.077066546,0.203252176,-0.340257378,0.510933918,-0.501718843,-0.27814742,-0.35420536,1.775648014,-0.132721977,0.103362588,0.383985274,0.408070226,0.191256409,0.068869755,0.869186175,1.092610588,1.186828893,-0.528058325,1.253896441,-0.493497053,-0.472388768
1,-0.323929142,-0.327734282,-0.280834798,-0.075911141,-0.25937111,0.539872456,-0.624228337,-0.126404553,-1.694072208,1.650988311,-0.251421818,-0.191433902,1.775648014,-0.626871628,-0.37117253,-0.843459602,0.405826022,1.035523598,-0.631978263,-1.085663746,1.124569374,1.128100387,-0.259684913,1.296213895,-0.616441753,-0.614186049
1,-0.443630373,-0.585076847,-0.181379168,-0.056872502,-0.530936518,0.210832383,0.180387583,-0.320738782,0.184323136,-0.112944965,1.100739719,4.398521766,-0.453551324,0.000318313,-0.42681285,0.110682277,0.342988328,0.261612008,-0.159183965,-1.125871558,-2.197622486,-2.284588957,-0.528058325,1.559798243,-0.538919972,-0.54192688
1,-0.445970852,-0.276892351,-0.261992827,-0.071789033,-0.523505624,0.37803968,0.952339798,-0.346664083,0.938748041,-1.017287078,0.544150627,6.217484499,-0.453551324,0.309593794,-0.711946071,0.860451561,-0.63997275,0.965167999,1.170202354,0.019003859,-10.69561577,-11.23545686,-0.528058325,1.182315139,0.572427438,0.643244426
1,-0.434370803,-0.376037995,-0.235442777,-0.066678743,-0.490742135,0.258008728,0.37854739,-0.326590195,0.757808735,-0.790735394,0.087790125,1.55883019,-0.453551324,-0.082615894,0.536120631,0.600450923,-0.303342244,0.331967607,0.288580046,-2.287911235,-0.480979143,-0.444697272,-0.528058325,-0.363977845,-0.62370942,-0.569742125
1,-0.432727176,-0.457661745,-0.331997171,-0.091872931,-0.493444279,0.528526247,0.035578493,-0.303729594,0.101520402,-0.01318764,-0.271961027,-0.314759043,0.661048345,-0.137905365,0.421467851,0.126403246,0.230778159,0.331967607,-0.150840536,0.735008572,-1.106458233,-1.127717841,-0.489719266,1.329813591,-0.541948166,-0.560067257
0,-0.363957395,-0.312622763,-0.140697641,0.406363098,-0.320169336,0.134394762,-0.457643444,-0.236370394,0.237991574,-0.178206767,-0.146565168,0.318487303,-0.453551324,-0.580221137,-0.423440709,0.080449645,0.560676055,-0.230877185,-0.250961682,1.036281938,0.907706185,0.955132869,3.284548086,1.078098017,-0.625829156,-0.577905295
0,-0.296176076,-0.146205002,0.462031308,0.051960886,-0.171889219,0.428201869,-0.517526902,-0.164154938,0.552335285,-0.561386776,0.183659458,2.196508706,0.661048345,-0.651060772,-0.711384047,0.46984595,0.43051226,-0.301232784,-0.009002247,0.769915968,0.828570145,0.874682861,-0.528058325,1.104126174,-0.627948892,-0.562183635
1,-0.383744972,-0.363243479,-0.319589305,-0.085042653,-0.39414051,0.480752733,-0.57087762,-0.237053411,-1.982348391,1.83651829,-0.265512412,-0.274204684,-0.453551324,-0.497286929,-0.617526134,-1.055088029,0.625757953,-0.582655181,-0.979621128,-0.845953528,0.683994686,0.642986838,-0.370442194,1.113717949,-0.611899461,-0.518949069
1,-0.412303816,-0.60821672,-0.312951793,-0.083106703,-0.452912128,0.514791362,-0.539302705,-0.177904083,-2.956047202,2.665343175,-0.26959429,-0.298360013,-0.453551324,-0.374613415,1.16146537,-1.440856419,0.771631172,1.211412596,-0.74322398,-1.777917621,0.970862833,0.912494365,2.752061157,1.152583439,-0.596455669,-0.532856692
